Event/Description,Position,A/C,Dimension,To go,Expected,Planned,Workpackage,W/O-Flags
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(1),,CMB,D,72,24.09.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(1),,CPI,D,72,24.09.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(1),,CPJ,D,72,24.09.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(1),,FPT,D,72,24.09.2025,---,0,
E190-34-0003/EGPWS TERRAIN THREAT DATABASE + ENVELOPE MODULATION DATABASE UPDATING(1),,GIQ,D,72,24.09.2025,---,0,
REPLACE 5500-C1W-BF15A/P10062030 (PORTABLE OXYGEN CYLINDER),AF2,CET,D,73,25.09.2025,---,0,
IC01/INTERMEDIATE CHECK 1,,CHO,H,661:30,25.09.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CHO,H,661:30,25.09.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CHO,H,661:30,25.09.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CHO,H,661:30,25.09.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CHO,H,661:30,25.09.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CHO,H,661:30,25.09.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CHO,H,661:30,25.09.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CHO,H,661:30,25.09.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CHO,H,661:30,25.09.2025,---,0,
E190-53-0176/LV-CHS - REPETITIVE INSPECTION ON TEMPORARY REPAIR,,CHS,C,484,25.09.2025,---,0,
"COMP-71-0029/CF34-10E - ENGINE MOUNT SYSTEM, GENERAL VISUAL INSPECTION CONSOLIDATE",L,CID,H,658:57,25.09.2025,---,0,
CF34-10E5A1G07/424591 VI(VISUAL INSPECTION) / 72-32-00-002-U,L,CID,H,658:57,25.09.2025,---,0,
CF34-10E5A1G07/424591 VI(VISUAL INSPECTION) / 72-23-00-003-U,L,CID,H,658:57,25.09.2025,---,0,
CF34-10E5A1G07/424591 DE(DETAILED INSPECTION) / 72-23-00-001-U,L,CID,H,658:57,25.09.2025,---,0,
REPLACE 5912855-01/V03208 (MAIN BATTERY),F,CID,H,662:49,25.09.2025,---,0,
57-50-029-1299-U (0)/W10998337 / AFT FLAP ROLLER FITTING AT TRACK 1 - EXTERNAL,,CMB,C,477,25.09.2025,14.09.2025,CMB28951,10998337
REPLACE 5500-C1W-BF15A/P10030227 (PORTABLE OXYGEN CYLINDER),FW2,CMB,D,73,25.09.2025,---,0,
REPLACE 5500-C1W-BF15A/P10071436 (PORTABLE OXYGEN CYLINDER),AF2,CPI,D,73,25.09.2025,---,0,
REPLACE 5912855-01/X02229 (MAIN BATTERY),F,CPI,H,668:55,25.09.2025,---,0,
E190-31-0002/MAU GABINET VENTILATION ZONE CLEANING,,GIK,H,659:51,25.09.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CHR,H,673:06,26.09.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CHR,H,673:06,26.09.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CHR,H,673:06,26.09.2025,---,0,
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CHR,H,673:06,26.09.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CHR,H,673:06,26.09.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CHR,H,673:06,26.09.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CHR,H,673:06,26.09.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CHR,H,673:06,26.09.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CIF,H,676:50,26.09.2025,---,0,
57-40-012-0004-RH1 (6)/W11025600 / SLAT 4 ROLLER BOLTS - INTERNAL,,CDY,H,680:37,27.09.2025,08.09.2025,CDY24169,11025600
57-40-012-0004-LH1 (6)/W11025599 / SLAT 4 ROLLER BOLTS - INTERNAL,,CDY,H,680:37,27.09.2025,08.09.2025,CDY24169,11025599
REPLACE 15-40F11/73167030 (PROT BREAT EQUI(PBE)),004,CEV,D,75,27.09.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CHQ,H,684:05,27.09.2025,---,0,
E190-57-0101/LV-CIE - FLAP TRACK 2 RH - REPETITIVE INSPECTIONS(1),,CIE,C,493,27.09.2025,---,0,
E190-26-0002/W11122866 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CIF,H,687:23,27.09.2025,---,0,11122866
53-10-024-0938-U (0)/W11023743 / NOSE LANDING GEAR SHOCK STRUT TRUNNION HOUSING - INTERNAL,,FPT,D,75,27.09.2025,18.08.2025,FPT28957,11023743
53-10-024-0932-U (0)/W11023917 / NOSE LANDING GEAR UPPER DRAG BRACE TRUNNION HOUSING - INTERNAL,,FPT,D,75,27.09.2025,18.08.2025,FPT28957,11023917
REPLACE 5500-C1W-BF15A/P10062031 (PORTABLE OXYGEN CYLINDER),FW2,CET,D,76,28.09.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CEU,H,690:04,28.09.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CEU,D,76,28.09.2025,---,0,
REPLACE 15-40F80/73640017 (PBE-PROTECTIVE),003,CHR,D,76,28.09.2025,---,0,
40088666/P407379 /IDT SE ENCIENDE COOLING FAIL EN EL PANEL DE IFE CONTROL,,CMB,D,76,28.09.2025,---,0,40088666
REPLACE 5500-C1W-BF15A/P10031007 (PORTABLE OXYGEN CYLINDER),AF2,GIK,D,76,28.09.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CEU,D,77,29.09.2025,---,0,
REPLACE 90002317-2WT/APR14-4751 (MAIN WHEEL TIRE ASSY),L02,CEU,C,506,29.09.2025,---,0,
REPLACE 01N65920/10 44 5602 (ELT (MODEL 406S)),U,CEV,D,77,29.09.2025,---,0,
REPLACE 90002317-2WT/AUG10-2975 (MAIN WHEEL TIRE ASSY),R01,CEV,C,507,29.09.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,R,CPJ,C,506,29.09.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,L,GIK,C,504,29.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CDY,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CDZ,D,78,30.09.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CET,H,709:40,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CET,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CEU,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CEV,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CHO,D,78,30.09.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CHQ,H,711:26,30.09.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CHQ,H,711:26,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CHQ,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CHR,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CHS,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CID,D,78,30.09.2025,---,0,
REPLACE 5500-C1W-BF15A/P10100811 (PORTABLE OXYGEN CYLINDER),AF1,CID,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CIE,D,78,30.09.2025,---,0,
REPLACE 90002317-2WT/DEC10-3179 (MAIN WHEEL TIRE ASSY),L02,CIE,C,511,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CIF,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CIG,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CIH,D,78,30.09.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CKZ,H,703:57,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CKZ,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CMA,D,78,30.09.2025,---,0,
"52-30-005-0001-U (0)/W11009932 / FORWARD CARGO DOOR LATCH SHAFTS, LATCH PINS ANDFITTINGS - INTERNAL",,CMA,C,514,30.09.2025,20.07.2025,CMA28950,11009932
"52-30-005-0002-U (0)/W11009746 / AFT CARGO DOOR LATCH SHAFTS, LATCH PINS AND FITTINGS -INTERNAL",,CMA,C,514,30.09.2025,20.07.2025,CMA28950,11009746
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CMB,D,78,30.09.2025,---,0,
REPLACE 801387-22/A10090898/W9961999 (GENERATOR-OXYGEN ASS),A12,CMB,D,78,30.09.2025,14.09.2025,CMB28951,9961999
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CPI,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,CPJ,D,78,30.09.2025,---,0,
GNRL-25-0003/PREVENTION OF FIRE IN LAVATORIES.,,FPT,H,706:38,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,FPT,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,GIK,D,78,30.09.2025,---,0,
E190-34-0002/FMS NAVIGATION DATABASE UPDATING PROCESS(2),,GIQ,D,78,30.09.2025,---,0,
"REPLACE 104005-1/EE1088 (SLIDE ASSY, AFT)",PAX,CDY,D,79,01.10.2025,---,0,
"REPLACE 104003-2/EF1312 (SLIDE ASSY, FWD)",SVC,CDZ,D,79,01.10.2025,---,0,
REPLACE 90002317-2WT/JUN10-2838 (MAIN WHEEL TIRE ASSY),R02,CET,C,518,01.10.2025,---,0,
COMP-71-0026/CF34-10E - DRAIN TUBES; GENERAL VISUAL INSPECTION,R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0019/CF34-10E - LPT REAR FRAME - GENERAL VISUAL INSPECTION / CONSOLIDATED,R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0018/CF34-10E - OGV & FAIRING / GENERAL VISUAL INSPECTION / CONSOLIDATED,R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0031/CF34-10E - FAN BLADES AND SPINNER; GENERAL VISUAL INSPECTION,R,CHQ,H,722:29,01.10.2025,---,0,
"COMP-71-0029/CF34-10E - ENGINE MOUNT SYSTEM, GENERAL VISUAL INSPECTION CONSOLIDATE",R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0020/CF34-10E - FORWARD AND AFT CENTERBODY; GENERAL VISUAL INSPECTION,R,CHQ,H,722:22,01.10.2025,---,0,
COMP-71-0024/CF34-10E - TRANSIENT BLEED VALVE; GENERAL VISUAL INSPECTION,R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0025/CF34-10E - LUBE SYSTEM AND AGB ASSY COMPONENTS; GENERAL VISUAL INSP,R,CHQ,H,722:29,01.10.2025,---,0,
COMP-71-0021/CF34-10E - ACCESSORY GEARBOX MOUNTS; GENERAL VISUAL INSPECTION,R,CHQ,H,722:29,01.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,CID,H,712:47,01.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CIE,H,716:37,01.10.2025,---,0,
REPLACE 5912855-01/202310409 (MAIN BATTERY),A,CIH,H,714:21,01.10.2025,---,0,
REPLACE 5912855-01/X00597 (MAIN BATTERY),F,CIH,H,714:21,01.10.2025,---,0,
40088476/IDT NO FUNCIONA CAFETERA POSICION 101 ( BOILER) GALLEY DELANTERO,,CMB,D,79,01.10.2025,---,0,40088476
FF350FH/FUERA DE FASE 350 FH(2),,GIQ,H,721:35,01.10.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,GIQ,H,725:41,01.10.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,GIQ,H,725:41,01.10.2025,---,0,
REPLACE 90000581-1WTA/MAR11-3535 (NOSE WHEEL TIRE ASSY),002,CDY,C,521,02.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CDZ,H,722:21,02.10.2025,---,0,
COMP-71-0033/CF34-10E - SPECIAL DETAILED INSP. OF STG 2 AND 3 HPC VSV SHROUD J-HOOK,L,CET,H,725:54,02.10.2025,---,0,
FF2500FH/2000FC/12MO/FUERA DE FASE 2500 FH/2000 FC/12 MO,,CHR,H,730:15,02.10.2025,---,0,
REPLACE 90002317-2WT/SEP11-3647 (MAIN WHEEL TIRE ASSY),L01,CHR,C,526,02.10.2025,---,0,
REPLACE 5500-C1W-BF15A/P10091562 (PORTABLE OXYGEN CYLINDER),FW1,CHS,D,80,02.10.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CIE,H,725:15,02.10.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CIE,H,725:15,02.10.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CIE,H,725:15,02.10.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CIE,H,725:15,02.10.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CIE,H,725:15,02.10.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CIE,H,725:15,02.10.2025,---,0,
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CIE,H,725:15,02.10.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CIE,H,725:15,02.10.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CIG,D,80,02.10.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CIG,D,80,02.10.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,CIG,H,721:33,02.10.2025,---,0,
REPLACE 5500-C1W-BF15A/P09081307 (PORTABLE OXYGEN CYLINDER),FW2,CMA,D,80,02.10.2025,---,0,
REPLACE 5500-C1W-BF15A/P09081311 (PORTABLE OXYGEN CYLINDER),AF2,CMB,D,80,02.10.2025,---,0,
REPLACE 5500-C1W-BF15A/P10062052 (PORTABLE OXYGEN CYLINDER),FW1,GIQ,D,80,02.10.2025,---,0,
COMP-71-0071/CF34-10E - BSI OF THE STG 3 BLADE FOR INTERLOCK HIGH WEAR CONDITION,R,CHS,H,742:46,03.10.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CIG,H,735:36,03.10.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CIG,H,735:36,03.10.2025,---,0,
E190-26-0002/W11122868 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CIH,H,735:01,03.10.2025,---,0,11122868
54-50-013-1195-U (0)/W11009450 / PYLON AFT BULKHEADS FRAME 6 TO FRAME 12 - INTERNAL,,CMA,D,81,03.10.2025,20.07.2025,CMA28950,11009450
"54-50-013-1190-U (0)/W11009789 / PYLON AFT BULKHEADS FRAMES 5, 7, AND 8 - INTERNAL",,CMA,D,81,03.10.2025,20.07.2025,CMA28950,11009789
54-50-005-1189-U (0)/W11010259 / PYLON UPPER CHORD - INTERNAL,,CMA,D,81,03.10.2025,20.07.2025,CMA28950,11010259
COMP-71-0016/CF34-10E - MAIN IGNITER PLUG REPLACEMENT,L,CMB,H,733:29,03.10.2025,---,0,
CF34-10E5A1G07/424181 SD(SPECIAL DETAILED INSPECTION) / 72-51-00-001-U,L,CMB,H,733:29,03.10.2025,---,0,
CF34-10E5A1G07/424181 SD(SPECIAL DETAILED INSPECTION) / 72-40-00-001-U,L,CMB,H,733:29,03.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,GIK,H,733:06,03.10.2025,---,0,
REPLACE 473597-18/0332 (DETECTOR-SMOKE MODEL),C,CHS,H,755:55,04.10.2025,---,0,
CF34-10E5A1G07/994991 SD(SPECIAL DETAILED INSPECTION) / 72-51-00-001-U,R,CID,H,742:13,04.10.2025,---,0,
CF34-10E5A1G07/994991 SD(SPECIAL DETAILED INSPECTION) / 72-40-00-001-U,R,CID,H,742:13,04.10.2025,---,0,
"11762908/IDT MARCAS DE LIMITE DE AREA RVSM EN ADSP #2, #3 Y #4 DETERIORADOS SE OBSERVA MARCAS DE LIMITE...",,CIF,D,82,04.10.2025,---,0,11762908
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CIH,H,748:08,04.10.2025,---,0,
E190-53-0183/LV-CPI - REPETITIVE INSPECTIONS OF ON WING TO FUSELAGE FAIRING DENT,,CPI,C,535,04.10.2025,---,0,
FF7500FH/6250FC/FUERA DE FASE FF 7500 FH/6250 FC,,CEV,H,756:00,05.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CEV,H,756:34,05.10.2025,---,0,
REPLACE RT-A1200/D58318829 (HALON PORTABLE EXTINGUISHER),CRW,CHO,D,83,05.10.2025,---,0,
CF34-10E5A1G07/994949 SD(SPECIAL DETAILED INSPECTION) / 72-40-00-001-U,L,CHQ,H,755:20,05.10.2025,---,0,
CF34-10E5A1G07/994949 SD(SPECIAL DETAILED INSPECTION) / 72-51-00-001-U,L,CHQ,H,755:20,05.10.2025,---,0,
REPLACE RT-A1200/Y-500199 (HALON PORTABLE EXTINGUISHER),CRW,CIG,D,83,05.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CPJ,H,753:47,05.10.2025,---,0,
REPLACE RT-A1200/D58293490 (HALON PORTABLE EXTINGUISHER),CRW,FPT,D,83,05.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CDZ,D,84,06.10.2025,---,0,
E190-29-0006/HYDRAULIC SYSTEM #1 AND #2 - CASE DRAIN FILTER REPLACEMENT,,CEV,H,765:18,06.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CHR,D,84,06.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,CIG,H,760:40,06.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CIG,H,763:19,06.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CPI,H,765:46,06.10.2025,---,0,
GNRL-25-0003/PREVENTION OF FIRE IN LAVATORIES.,,CPJ,H,766:37,06.10.2025,---,0,
E190-26-0002/W11122876 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,FPT,H,756:05,06.10.2025,---,0,11122876
IC02/INTERMEDIATE CHECK 2,,CDY,H,772:17,07.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,CDY,H,770:33,07.10.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CDY,H,772:17,07.10.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CDY,H,772:17,07.10.2025,---,0,
"GNRL-11-0005/W11273792 /EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CDY,H,772:17,07.10.2025,03.11.2025,CDY58819,11273792
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CDY,H,772:17,07.10.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CDY,H,772:17,07.10.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CDY,H,772:17,07.10.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CDY,H,772:17,07.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,CHQ,H,777:29,07.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CHR,H,773:13,07.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CIE,D,85,07.10.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CIF,D,85,07.10.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CIF,D,85,07.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CIF,D,85,07.10.2025,---,0,
57-40-012-0004-LH1 (6)/W10997133 / SLAT 4 ROLLER BOLTS - INTERNAL,,CIG,H,769:13,07.10.2025,08.09.2025,CIG62481,10997133
57-40-012-0004-RH1 (6)/W10997119 / SLAT 4 ROLLER BOLTS - INTERNAL,,CIG,H,769:13,07.10.2025,08.09.2025,CIG62481,10997119
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION(1),,GIQ,H,771:31,07.10.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION(1),,GIQ,H,771:31,07.10.2025,---,0,
FF180MO/FF180MO,,CEU,D,86,08.10.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CHO,H,780:12,08.10.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CHO,H,780:12,08.10.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CHO,H,780:12,08.10.2025,---,0,
E190-38-0001/VACCUM WATER WASTE DRAIN CAP REPLACEMENT CAMPAIGN,,CHO,H,780:12,08.10.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CHO,H,780:12,08.10.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CHO,H,780:12,08.10.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CHO,H,780:12,08.10.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CHO,H,780:12,08.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,CHR,H,783:47,08.10.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,CKZ,H,782:47,08.10.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,CKZ,H,780:27,08.10.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,CKZ,H,780:27,08.10.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,CKZ,H,780:27,08.10.2025,---,0,
E190-38-0002/VACCUM WATER WASTE DRAIN CAP INSPECTION CAMPAIGN,,CKZ,H,780:27,08.10.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,CKZ,H,780:27,08.10.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,CKZ,H,780:27,08.10.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,CKZ,H,780:27,08.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CPI,D,86,08.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,GIQ,D,86,08.10.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CDZ,D,87,09.10.2025,---,0,
REPLACE 473597-18/7741 (DETECTOR-SMOKE MODEL),C,CET,H,788:45,09.10.2025,---,0,
FF180MO/W8658561 /FF180MO,,CEV,D,87,09.10.2025,23.11.2025,CEV30965,8658561
GNRL-31-0001/PERIODIC READ OUT OF FDR,,CEV,D,87,09.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CHO,D,87,09.10.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION(1),,CKZ,D,87,09.10.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(2),,CMA,H,791:52,09.10.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(2),,FPT,H,784:01,09.10.2025,---,0,
E190-29-0006/HYDRAULIC SYSTEM #1 AND #2 - CASE DRAIN FILTER REPLACEMENT,,CET,H,797:46,10.10.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CEV,D,88,10.10.2025,---,0,
FF12MO/FUERA DE FASE 12 MO,,CEV,D,88,10.10.2025,---,0,
GNRL-23-0001/ANNUAL OPERATIONAL TEST OF THE COCKPIT VOICE RECORDER.,,CEV,D,88,10.10.2025,---,0,
